id,make_name,model_id,name
thomasfleet.4900_international_boom_truck,International,4900,Boom Truck
thomasfleet.7400_international_base,International,7400,Base
thomasfleet.625_international_boom_truck,International,625,Boom Truck
thomasfleet.7400_international_drip_truck,International,7400,Drip Truck
thomasfleet.4300_international_sample_truck/boom_with_flat_deck,International,4300,Sample Truck/Boom with Flat Deck
thomasfleet.workstar7600_international_base,International,WorkStar 7600,Base
thomasfleet.4400sba_international_tandem_axle_flatbed_6x4,International,4400 SBA,TANDEM AXLE FLATBED 6x4
thomasfleet.dempster_wstrn_medium_dempster,Wstrn,Dempster,Medium Dempster
thomasfleet.fld120_freightliner_conventional_tractor,Freightliner,Fld120,Conventional Tractor
thomasfleet.columbia_freightliner_120,Freightliner,Columbia,120
thomasfleet.tractor_wstrn_4900_sa,Wstrn,Tractor,4900 SA
thomasfleet.flatdeck_thruway_flatbed,Thruway,Flat Deck,Flatbed
thomasfleet.flatdeck_thruway_5_axle,Thruway,Flat Deck,5 Axle
thomasfleet.vantrailer_manac_48_3_axle,Manac,Van Trailer,48' 3 Axle
thomasfleet.vantrailer_util_48_3_axle,Util,Van Trailer,48' 3 Axle
thomasfleet.flatdeck_titan_48_5_axle,Titan,Flat Deck,48' 5 Axle
thomasfleet.vantrailer_util_48_2_axle,Util,Van Trailer,48' 2 Axle
thomasfleet.vantrailer_trai_2_axle,Trai,Van Trailer,2 Axle
thomasfleet.flatdeck_tridem_31,Tridem,Flat Deck,31'
thomasfleet.stepdeck_wilson_2_axle,Wilson,Step Deck,2 Axle
thomasfleet.platform_titan_6_axle,Titan,Platform,6 Axle
thomasfleet.platform_titan_5_axle,Titan,Platform,5 Axle
thomasfleet.platform_titan_6_axle_-_conestoga,Titan,Platform,6 Axle - Conestoga
thomasfleet.vantrailer__48_4_axle,TBD,Van Trailer,48' 4 Axle
thomasfleet.40s_international_flat_truck,International,40S,Flat Truck
thomasfleet.tbd_autocar / volvo_dyno_/_roll_off,Autocar / Volvo,TBD,Dyno / Roll Off
thomasfleet.m2_freightliner_26_straight_truck,Freightliner,M2,26' Straight Truck
thomasfleet.8hbw23_toyota_pallet_truck,Toyota,8HBW23,Pallet Truck
