id,make_name,model_id,name
thomasfleet.4300_international_flat_truck,International,4300,Flat Truck
thomasfleet.f-450_super_duty_ford_xl,Ford,F-450 Super Duty,XL
thomasfleet.c5500_topkick_gmc_c5v042,GMC,C5500 Topkick,C5V042
thomasfleet.4400_cab_&_chassis_international_flat_truck,International,4400 Cab & Chassis,Flat Truck
thomasfleet.4400_international_flat_truck,International,4400,Flat Truck
thomasfleet.40s_international_flat_truck,International,40S,Flat Truck
thomasfleet.ranger_ford_fx4,Ford,Ranger,FX4
thomasfleet.yukon_xl_1500_gmc_denali,GMC,Yukon XL 1500,Denali
thomasfleet.escape_ford_xlt,Ford,Escape,XLT
thomasfleet.4800_wstrn_water_truck,Wstrn,4800,Water Truck
thomasfleet.f-250_super_duty_ford_lariat,Ford,F-250 Super Duty,Lariat
thomasfleet.ranger_ford_xl,Ford,Ranger,XL
thomasfleet.ranger_ford_sport,Ford,Ranger,Sport
thomasfleet.ranger_ford_xlt,Ford,Ranger,XLT
thomasfleet.drop_deck_trailer_tbd_,TBD,Drop Deck Trailer,
thomasfleet.fusion_ford_se,Ford,Fusion,SE
thomasfleet.4900_tandem_international_straight_truck,International,4900 Tandem,Straight Truck
thomasfleet.fld120_freightliner_conventional_tractor,Freightliner,Fld120,Conventional Tractor
thomasfleet.4900_international_tandem_straight_truck,International,4900,Tandem Straight Truck
thomasfleet.4400_international_straight_truck,International,4400,Straight Truck
thomasfleet.9200i_international_,International,9200I,
thomasfleet.7400_international_,International,7400,
thomasfleet.4400_international_,International,4400,
thomasfleet.7600_van_truck_international_straight_truck,International,7600 Van Truck,Straight Truck
thomasfleet.9200i_truck_tractor_international_,International,9200I Truck Tractor,
thomasfleet.m2_106_freightliner_,Freightliner,M2 106,
thomasfleet.columbia_120_freightliner_,Freightliner,Columbia 120,
thomasfleet.4700_international_,International,4700,
thomasfleet.transtar_international_8600,International,TranStar,8600
thomasfleet.terrastar_international_maxxforce_7,International,Terrastar,Maxxforce 7
thomasfleet.columbia_freightliner_120,Freightliner,Columbia,120
thomasfleet.step_deck_wabash_,Wabash,Wabash Step Deck,
thomasfleet.4900_international_drip_truck,International,4900,Drip Truck
thomasfleet.40s_international_dump_truck,International,40S,Dump Truck
thomasfleet.40s_international_straight_truck,International,40S,Straight Truck
